#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
58.5 35.2449 128.296 10.1886 344.864
58.6 40.9237 90.6545 9.18413 382.506
58.7 44.9673 56.6975 7.4708 416.463
58.8 45.2774 29.749 5.24968 443.411
58.9 35.3365 12.447 2.70379 460.713
59 1.60213e-12 6.48516 9.36537e-14 466.675
59.1 144.664 12.447 177.296 460.713
59.2 134.723 29.749 174.75 443.411
59.3 135.033 56.6975 172.529 416.463
59.4 139.076 90.6545 170.816 382.506
59.5 144.755 128.296 169.811 344.864
59.6 151.249 165.938 169.724 307.222
59.7 158.179 199.895 170.734 273.265
59.8 165.349 226.843 172.918 246.317
59.9 172.647 244.145 176.144 229.015
60 180 250.107 180 223.053
60.1 7.35319 244.145 3.85599 229.015
60.2 14.651 226.843 7.08222 246.317
60.3 21.8212 199.895 9.26602 273.265
60.4 28.7513 165.938 10.2759 307.222
60.5 35.2449 128.296 10.1886 344.864
60.6 40.9237 90.6545 9.18413 382.506
60.7 44.9673 56.6975 7.4708 416.463
60.8 45.2774 29.749 5.24968 443.411
60.9 35.3365 12.447 2.70379 460.713
61 5.82341e-13 6.48516 3.40412e-14 466.675
61.1 144.664 12.447 177.296 460.713
61.2 134.723 29.749 174.75 443.411
61.3 135.033 56.6975 172.529 416.463
61.4 139.076 90.6545 170.816 382.506
61.5 144.755 128.296 169.811 344.864
61.6 151.249 165.938 169.724 307.222
61.7 158.179 199.895 170.734 273.265
61.8 165.349 226.843 172.918 246.317
61.9 172.647 244.145 176.144 229.015
62 180 250.107 180 223.053
62.1 7.35319 244.145 3.85599 229.015
62.2 14.651 226.843 7.08222 246.317
62.3 21.8212 199.895 9.26602 273.265
62.4 28.7513 165.938 10.2759 307.222
62.5 35.2449 128.296 10.1886 344.864
62.6 40.9237 90.6545 9.18413 382.506
62.7 44.9673 56.6975 7.4708 416.463
62.8 45.2774 29.749 5.24968 443.411
62.9 35.3365 12.447 2.70379 460.713
63 180 6.48516 180 466.675
63.1 144.664 12.447 177.296 460.713
63.2 134.723 29.749 174.75 443.411
63.3 135.033 56.6975 172.529 416.463
63.4 139.076 90.6545 170.816 382.506
63.5 144.755 128.296 169.811 344.864
63.6 151.249 165.938 169.724 307.222
63.7 158.179 199.895 170.734 273.265
63.8 165.349 226.843 172.918 246.317
63.9 172.647 244.145 176.144 229.015
64 180 250.107 180 223.053
64.1 7.35319 244.145 3.85599 229.015
64.2 14.651 226.843 7.08222 246.317
64.3 21.8212 199.895 9.26602 273.265
64.4 28.7513 165.938 10.2759 307.222
64.5 35.2449 128.296 10.1886 344.864
64.6 40.9237 90.6545 9.18413 382.506
64.7 44.9673 56.6975 7.4708 416.463
64.8 45.2774 29.749 5.24968 443.411
64.9 35.3365 12.447 2.70379 460.713
65 2.76755e-12 6.48516 1.61779e-13 466.675
65.1 144.664 12.447 177.296 460.713
65.2 134.723 29.749 174.75 443.411
