#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
48.6 40.1896 89.6241 9.00693 381.336
48.7 43.9656 56.3653 7.33246 414.595
48.8 43.893 29.971 5.15534 440.989
48.9 33.6244 13.0249 2.65608 457.935
49 2.30398e-12 7.1856 1.42214e-13 463.774
49.1 146.376 13.0249 177.344 457.935
49.2 136.107 29.971 174.845 440.989
49.3 136.034 56.3653 172.668 414.595
49.4 139.81 89.6241 170.993 381.336
49.5 145.298 126.492 170.018 344.468
49.6 151.645 163.359 169.945 307.601
49.7 158.458 196.618 170.945 274.342
49.8 165.527 223.012 173.088 247.948
49.9 172.733 239.959 176.24 231.002
50 2.27482e-14 245.798 1.2097e-14 225.162
50.1 7.26667 239.959 3.75974 231.002
50.2 14.4733 223.012 6.91197 247.948
50.3 21.5425 196.618 9.05476 274.342
50.4 28.3546 163.359 10.055 307.601
50.5 34.7023 126.492 9.98183 344.468
50.6 40.1896 89.6241 9.00693 381.336
50.7 43.9656 56.3653 7.33246 414.595
50.8 43.893 29.971 5.15534 440.989
50.9 33.6244 13.0249 2.65608 457.935
51 1.35515e-12 7.1856 8.36474e-14 463.774
51.1 146.376 13.0249 177.344 457.935
51.2 136.107 29.971 174.845 440.989
51.3 136.034 56.3653 172.668 414.595
51.4 139.81 89.6241 170.993 381.336
51.5 145.298 126.492 170.018 344.468
51.6 151.645 163.359 169.945 307.601
51.7 158.458 196.618 170.945 274.342
51.8 165.527 223.012 173.088 247.948
51.9 172.733 239.959 176.24 231.002
52 1.81642e-13 245.798 9.65928e-14 225.162
52.1 7.26667 239.959 3.75974 231.002
52.2 14.4733 223.012 6.91197 247.948
52.3 21.5425 196.618 9.05476 274.342
52.4 28.3546 163.359 10.055 307.601
52.5 34.7023 126.492 9.98183 344.468
52.6 40.1896 89.6241 9.00693 381.336
52.7 43.9656 56.3653 7.33246 414.595
52.8 43.893 29.971 5.15534 440.989
52.9 33.6244 13.0249 2.65608 457.935
53 4.06322e-13 7.1856 2.50805e-14 463.774
53.1 146.376 13.0249 177.344 457.935
53.2 136.107 29.971 174.845 440.989
53.3 136.034 56.3653 172.668 414.595
53.4 139.81 89.6241 170.993 381.336
53.5 145.298 126.492 170.018 344.468
53.6 151.645 163.359 169.945 307.601
53.7 158.458 196.618 170.945 274.342
53.8 165.527 223.012 173.088 247.948
53.9 172.733 239.959 176.24 231.002
54 180 245.798 180 225.162
54.1 7.26667 239.959 3.75974 231.002
54.2 14.4733 223.012 6.91197 247.948
54.3 21.5425 196.618 9.05476 274.342
54.4 28.3546 163.359 10.055 307.601
54.5 34.7023 126.492 9.98183 344.468
54.6 40.1896 89.6241 9.00693 381.336
54.7 43.9656 56.3653 7.33246 414.595
54.8 43.893 29.971 5.15534 440.989
54.9 33.6244 13.0249 2.65608 457.935
55 180 7.1856 180 463.774
55.1 146.376 13.0249 177.344 457.935
55.2 136.107 29.971 174.845 440.989
55.3 136.034 56.3653 172.668 414.595
55.4 139.81 89.6241 170.993 381.336
55.5 145.298 126.492 170.018 344.468
55.6 151.645 163.359 169.945 307.601
55.7 158.458 196.618 170.945 274.342
55.8 165.527 223.012 173.088 247.948
55.9 172.733 239.959 176.24 231.002
56 180 245.798 180 225.162
56.1 7.26667 239.959 3.75974 231.002
56.2 14.4733 223.012 6.91197 247.948
56.3 21.5425 196.618 9.05476 274.342
56.4 28.3546 163.359 10.055 307.601
56.5 34.7023 126.492 9.98183 344.468
56.6 40.1896 89.6241 9.00693 381.336
56.7 43.9656 56.3653 7.33246 414.595
56.8 43.893 29.971 5.15534 440.989
56.9 33.6244 13.0249 2.65608 457.935
57 2.43947e-12 7.1856 1.50578e-13 463.774
57.1 146.376 13.0249 177.344 457.935
57.2 136.107 29.971 174.845 440.989
57.3 136.034 56.3653 172.668 414.595
57.4 139.81 89.6241 170.993 381.336
57.5 145.298 126.492 170.018 344.468
57.6 151.645 163.359 169.945 307.601
57.7 158.458 196.618 170.945 274.342
57.8 165.527 223.012 173.088 247.948
57.9 172.733 239.959 176.24 231.002
58 5.7344e-17 245.798 3.04942e-17 225.162
58.1 7.26667 239.959 3.75974 231.002
58.2 14.4733 223.012 6.91197 247.948
58.3 21.5425 196.618 9.05476 274.342
58.4 28.3546 163.359 10.055 307.601
58.5 34.7023 126.492 9.98183 344.468
58.6 40.1896 89.6241 9.00693 381.336
58.7 43.9656 56.3653 7.33246 414.595
58.8 43.893 29.971 5.15534 440.989
58.9 33.6244 13.0249 2.65608 457.935
59 1.49065e-12 7.1856 9.20111e-14 463.774
59.1 146.376 13.0249 177.344 457.935
59.2 136.107 29.971 174.845 440.989
59.3 136.034 56.3653 172.668 414.595
59.4 139.81 89.6241 170.993 381.336
59.5 145.298 126.492 170.018 344.468
59.6 151.645 163.359 169.945 307.601
59.7 158.458 196.618 170.945 274.342
59.8 165.527 223.012 173.088 247.948
59.9 172.733 239.959 176.24 231.002
60 180 245.798 180 225.162
60.1 7.26667 239.959 3.75974 231.002
60.2 14.4733 223.012 6.91197 247.948
60.3 21.5425 196.618 9.05476 274.342
60.4 28.3546 163.359 10.055 307.601
60.5 34.7023 126.492 9.98183 344.468
60.6 40.1896 89.6241 9.00693 381.336
60.7 43.9656 56.3653 7.33246 414.595
60.8 43.893 29.971 5.15534 440.989
60.9 33.6244 13.0249 2.65608 457.935
61 5.4182e-13 7.1856 3.34442e-14 463.774
61.1 146.376 13.0249 177.344 457.935
61.2 136.107 29.971 174.845 440.989
61.3 136.034 56.3653 172.668 414.595
